model,condition,scenario_id,json_parse_validity_rate,required_fields_validity_rate,classification_validity_rate,risk_level_validity_rate,indicator_list_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,retry_rate,timeout_rate,empty_response_rate,indicator_vocabulary_compliance_rate
deepseek-r1:8b,rag,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
deepseek-r1:8b,rag,PERSIST_014,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,NORMAL_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
deepseek-r1:8b,rag,NORMAL_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,NORMAL_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,NORMAL_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,SEC_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,PROC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,SEC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,AUTH_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,USB_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,NET_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,AUTH_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8
gemma3:12b,rag,SEC_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,NET_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,AUTH_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,USB_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,PROC_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,PERSIST_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,PROC_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,PERSIST_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,NORMAL_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gemma3:12b,rag,NORMAL_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,NORMAL_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,NORMAL_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,SEC_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,PROC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,SEC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,AUTH_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,USB_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,NET_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4
gpt-oss:20b,rag,AUTH_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8
gpt-oss:20b,rag,SEC_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,NET_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,AUTH_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,USB_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,PROC_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,PERSIST_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,PROC_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
gpt-oss:20b,rag,PERSIST_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,rag,NORMAL_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8
gpt-oss:20b,rag,NORMAL_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,NORMAL_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,NORMAL_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,SEC_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,PROC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,SEC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,AUTH_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,USB_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,NET_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,AUTH_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,SEC_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,NET_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,AUTH_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2
llama3,rag,USB_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,PROC_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,PERSIST_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,PROC_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,PERSIST_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,rag,NORMAL_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
llama3,rag,NORMAL_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,NORMAL_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,NORMAL_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,SEC_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,PROC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,SEC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,AUTH_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,USB_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,NET_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,AUTH_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,SEC_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,rag,NET_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,rag,AUTH_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,rag,USB_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,PROC_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,PERSIST_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,rag,PROC_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,rag,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,PERSIST_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,NORMAL_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
qwen3:8b,rag,NORMAL_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
